127.0.0.1 - - [13/Sep/2016:18:46:12 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/ HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/resources/css/petclinic.css HTTP/1.1" 200 127373
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/jquery-ui/themes/base/minified/jquery-ui.min.css HTTP/1.1" 200 25763
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/jquery-ui/themes/base/minified/jquery.ui.theme.min.css HTTP/1.1" 200 11777
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/jquery-ui/themes/base/minified/jquery.ui.datepicker.min.css HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/jquery/jquery.min.js HTTP/1.1" 200 83606
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/jquery-ui/ui/jquery.ui.core.js HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/jquery-ui/ui/jquery.ui.datepicker.js HTTP/1.1" 200 76324
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/resources/fonts/varela_round-webfont.eot? HTTP/1.1" 200 28963
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/resources/fonts/montserrat-webfont.eot? HTTP/1.1" 200 20979
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/resources/images/spring-logo-dataflow.png HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/resources/images/pets.png HTTP/1.1" 200 67721
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:16 -0400] "GET /petclinic/resources/images/spring-pivotal-logo.png HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:31 -0400] "GET /petclinic/ HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:31 -0400] "GET /petclinic/resources/images/spring-logo-dataflow-mobile.png HTTP/1.1" 200 3705
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:33 -0400] "GET /petclinic/owners/find.html HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:47 -0400] "GET /petclinic/owners.html?lastName=c HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:47 -0400] "GET /petclinic/owners/6 HTTP/1.1" 200 7316
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:58 -0400] "GET /petclinic/vets.html HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:58 -0400] "GET /petclinic/dandelion/datatables/css/jquery.dataTables.css HTTP/1.1" 200 15837
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:58 -0400] "GET /petclinic/dandelion-assets/8b07d95ba116f33bd0b2c3e4ce42e80f/js/dandelion-datatables-427870306057bc3723138b428e6e37f7.js HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:58 -0400] "GET /petclinic/dandelion/datatables/js/jquery.dataTables.js HTTP/1.1" 200 453928
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:59 -0400] "GET /petclinic/dandelion/datatables/images/sort_asc.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:46:59 -0400] "GET /petclinic/dandelion/datatables/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:47:10 -0400] "GET /petclinic/oups.html HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [13/Sep/2016:18:47:38 -0400] "GET /petclinic/ HTTP/1.1" 200 3871
